lat,lon,name,major,minor,nta,borough,nodes,stages,major_cls,major_lanes,minor_cls,minor_lanes,cycle_s,green_s,cross_m,wait_major_s,wait_minor_s,barnes,lpi,subway_access,poi_200m,peds_cross_major,peds_cross_minor,peds_day,lost_hours_day,rank_lost,rank_wait
40.752741,-73.975102,Lexington Avenue / East 44th Street,Lexington Avenue,East 44th Street,East Midtown-Turtle Bay,Manhattan,1,1,secondary,3.0,residential,1.0,90,20.0,13.9,27.2,17.4,1,0,122064,152,17872,19825,37697,230.7,26,1417
40.722919,-73.847485,Queens Boulevard / Yellowstone Boulevard,Queens Boulevard,Yellowstone Boulevard,Forest Hills,Queens,5,4,primary,10.0,tertiary,3.0,120,32.0,53.3,129.1,6.0,0,0,15989,44,6122,6122,12243,229.6,27,4
40.753558,-73.98504,6th Avenue / West 40th Street,6th Avenue,West 40th Street,Midtown-Times Square,Manhattan,1,1,secondary,4.0,residential,2.0,90,23.0,17.0,24.9,6.0,0,1,223023,109,26568,26568,53135,228.2,28,1661
40.71525,-74.013367,West Street / Murray Street,West Street,Murray Street,Financial District-Battery Park City,Manhattan,2,2,trunk,12.0,secondary,4.0,120,32.0,47.4,64.5,8.1,0,0,48101,30,11407,10283,21689,227.6,29,157
40.725031,-74.00589,Varick Street / Dominick Street,Varick Street,Dominick Street,SoHo-Little Italy-Hudson Square,Manhattan,2,2,primary,5.0,residential,4.0,90,19.2,26.1,55.7,29.8,1,0,37722,39,9156,10157,19313,225.7,30,343
40.745804,-73.982278,Park Avenue South / Park Avenue,Park Avenue South,Park Avenue,Midtown South-Flatiron-Union Square,Manhattan,2,2,primary,6.0,primary,5.0,90,36.9,29.1,31.3,22.4,0,0,86321,131,15113,15113,30226,225.5,31,1303
40.691018,-73.98932,Boerum Place / Livingston Street,Boerum Place,Livingston Street,Brooklyn Heights,Brooklyn,2,2,primary,8.0,residential,2.0,120,32.0,35.2,64.5,6.0,0,1,49883,69,11607,10464,22071,225.5,32,158
40.713743,-74.013825,West Street / Vesey Street,West Street,Vesey Street,Financial District-Battery Park City,Manhattan,2,2,trunk,8.0,unclassified,3.0,120,32.0,35.2,64.5,6.0,0,0,60360,32,11466,11466,22932,224.6,33,159
40.724695,-73.994179,East Houston Street / Mott Street,East Houston Street,Mott Street,Greenwich Village,Manhattan,2,2,primary,7.0,residential,1.0,90,23.0,32.1,49.9,6.0,0,0,78567,150,14441,14441,28883,224.1,34,369
40.754755,-73.987888,7th Avenue / West 40th Street,7th Avenue,West 40th Street,Midtown-Times Square,Manhattan,1,1,secondary,4.0,residential,3.0,90,28.1,17.0,21.3,6.0,0,1,278788,137,29616,29616,59233,224.1,35,4872
40.751445,-73.987686,West 36th Street / Broadway,West 36th Street,Broadway,Midtown-Times Square,Manhattan,1,1,secondary,3.0,residential,1.0,90,23.0,13.9,24.9,6.0,0,1,223151,122,26575,23957,50532,223.9,36,1662
40.75219,-73.987537,West 37th Street / Broadway,West 37th Street,Broadway,Midtown-Times Square,Manhattan,1,1,secondary,2.0,residential,1.0,90,23.0,10.9,24.9,6.0,0,1,222227,132,26521,23909,50430,223.5,37,1663
40.707474,-74.011964,Broadway / Rector Street,Broadway,Rector Street,Financial District-Battery Park City,Manhattan,1,1,secondary,2.0,residential,1.0,90,17.2,10.9,29.5,17.4,1,0,102396,111,16414,18208,34621,222.2,38,1338
